구분,버스명,AP별 이용량(GB)
마을버스,청진운수_서초13_서울75사3253,309.35656745 
마을버스,포이운수_강남02_서울75사3287,309.07696579 
마을버스,범일운수_금천01_서울75사5184,308.83837864 
마을버스,한강운수_영등포12_서울75사3384,308.55804402 
마을버스,난곡운수_관악10_서울70사9080,308.25707968 
마을버스,청진운수_서초13_서울70사9120,308.12377948 
마을버스,범일운수_금천02_서울75사5173,307.44427536 
마을버스,서북운수_서대문05_서울70사7213,307.06265289 
마을버스,포이운수_강남02_서울75사3354,306.18414283 
마을버스,양정운수_영등포09_서울70사8516,305.71582075 
마을버스,청진운수_서초13_서울70사9123,304.90020756 
마을버스,금강운수_관악03_서울75사5253,304.86218259 
마을버스,번창운수_노원14_서울75사3210,304.49288897 
마을버스,미봉운수_강북05_서울75사3192,303.68417315 
마을버스,서초교통_서초10_서울70사9149,302.89797951 
마을버스,미봉운수_강북06_서울75사3191,302.88561992 
마을버스,인헌운수_관악02_서울75사5294,302.41128523 
마을버스,광장운수_광진01_서울75사3308,302.25384515 
마을버스,청진운수_서초13_서울75사3585,302.21200548 
마을버스,포이운수_강남02_서울75사3283,302.04318278 
마을버스,청진운수_서초13_서울75사3583,301.85900908 
마을버스,정암운수_마포09_서울70사7717,301.53463781 
마을버스,청화운수_서초09_서울70사9155,301.38085969 
마을버스,구의교통_광진03_서울75사3350,300.83233677 
마을버스,사당3동_동작17_서울75사8720,300.55206269 
마을버스,구의교통_광진03_서울75사3320,300.54516625 
마을버스,금강운수_관악03_서울75사5023,300.07254053 
마을버스,삼하운수_서대문11_서울71사2380,299.37680066 
마을버스,구의교통_광진03_서울75사3349,299.25949126 
마을버스,범일운수_금천01_서울71사1591,298.91906772 
마을버스,금강운수_관악03_서울75사5162,298.89138788 
마을버스,포이운수_강남02_서울70사9370,298.85665886 
마을버스,휘경운수_동대문03_서울75사6104,298.69638104 
마을버스,구의교통_광진04_서울71사1004,298.66638221 
마을버스,서대문구_서대문01_서울70사7294,298.37402329 
마을버스,연일교통_서대문03_서울70사7241,298.15167282 
마을버스,부일교통_서대문01_서울75사5297,297.59433027 
마을버스,포이운수_강남02_서울70사9371,297.59063758 
마을버스,범일운수_금천02_서울75사5174,297.09075950 
마을버스,신목교통_양천03_서울75사7913,296.28167767 
마을버스,은천운수_관악01_서울70사9071,296.17040977 
마을버스,미봉운수_강북06_서울71사6272,296.07467633 
마을버스,범일운수_금천01_서울71사1421,296.06311023 
마을버스,흑석운수_동작21_서울75사4004,296.01400718 
마을버스,상도3동_동작11_서울75사8742,295.78521755 
마을버스,흑석운수_동작01_서울75사8818,295.09881604 
마을버스,우리운송_동대문01_서울75사6133,294.41149905 
마을버스,범일운수_금천01_서울71사1428,294.37167384 
마을버스,우리교통_양천04_서울70사7910,294.36074849 
마을버스,선흥상운_서초21_서울75사9108,293.78244001 
마을버스,청록운수_도봉03_서울70사6641,292.87210107 
마을버스,강동교통_강동05_서울75사9716,292.35906992 
마을버스,고려승객_성북21_서울75사3024,292.31085163 
마을버스,충정운수_서대문02_서울75사5167,292.23800637 
마을버스,오렌지교통_노원02_서울75사6819,292.22512804 
마을버스,광일운수_서초17_서울70사9245,292.17706341 
마을버스,강동교통_강동02_서울75사9717,292.08718892 
