구분,버스명,AP별 이용량(단위 : GB)
시내버스,삼양교통_130_서울75사4041,665.18438980 
시내버스,중부운수_640_서울70사7990,665.14844075 
시내버스,다모아자동차_710_서울74사9671,664.99914974 
시내버스,관악교통_643_서울70사8924,664.79125991 
시내버스,동아운수_152_서울75사2864,664.07605074 
시내버스,김포교통_654_서울74사5897,663.90972584 
시내버스,메트로버스_273_서울71사2234,663.86425868 
시내버스,다모아자동차_470_서울74사7608,663.71197812 
시내버스,흥안운수_1224_서울75사2113,662.69488074 
시내버스,중부운수_640_서울70사7966,662.56121732 
시내버스,진화운수_461_서울70사9595,662.52197139 
시내버스,진화운수_461_서울74사8245,662.50647418 
시내버스,한남여객운수_501_서울74사3752,662.39190288 
시내버스,한국비알티_140_서울74사1616,661.45959310 
시내버스,중부운수_603_서울74사9668,661.44689918 
시내버스,한남여객운수_506_서울75사1323,661.12487577 
시내버스,동아운수_151_서울74사4058,661.03253514 
시내버스,신길운수_673_서울75사1404,660.60003825 
시내버스,한남여객운수_5517_서울74사8547,660.19873135 
시내버스,다모아자동차_470_서울74사1363,660.05145200 
시내버스,신촌교통_740_서울74사5865,659.37695093 
시내버스,관악교통_643_서울70사8922,659.09643658 
시내버스,동아운수_152_서울74사4013,658.63470547 
시내버스,동아운수_152_서울74사9794,658.22894685 
시내버스,한남여객운수_506_서울75사1336,657.92187117 
시내버스,삼양교통_130_서울74사3258,657.88586624 
시내버스,신수교통_761_서울74사4293,657.80743025 
시내버스,선진운수_752_서울74사3062,657.74676390 
시내버스,신인운수_571_서울74사7938,657.58856013 
시내버스,중부운수_640_서울75사1363,657.15124831 
시내버스,서울승합_340_서울74사8771,657.10089169 
시내버스,동아운수_153_서울75사2865,656.90344200 
시내버스,서울교통네트웍_160_서울71사3264,656.61993809 
시내버스,우신버스_502_서울74사8385,656.57586791 
시내버스,중부운수_6624_서울75사5012,656.52093850 
시내버스,서울교통네트웍_160_서울71사3210,656.15008585 
시내버스,동아운수_152_서울71사1252,656.12255596 
시내버스,동아운수_153_서울74사2139,656.08520061 
시내버스,태릉교통_202_서울74사1705,655.99975176 
시내버스,중부운수_641_서울70사7944,655.64251505 
시내버스,진화운수_461_서울70사9548,655.59851006 
시내버스,중부운수_6715_서울70사7935,655.57952970 
시내버스,신수교통_761_서울74사5310,655.25348298 
시내버스,대원여객_107_서울75사2923,654.82440405 
시내버스,대원여객_107_서울74사1526,654.81695347 
시내버스,동아운수_152_서울74사1657,654.73785624 
시내버스,중부운수_640_서울70사7985,654.73150462 
시내버스,북부운수_272_서울74사6153,654.49420363 
시내버스,동아운수_152_서울75사2853,654.41033803 
시내버스,신촌교통_740_서울74사8534,654.40997481 
시내버스,한성여객운수_172_서울74사8787,654.38360907 
시내버스,동아운수_151_서울74사3834,653.59179862 
시내버스,신수교통_761_서울70사7025,653.17370929 
시내버스,우신버스_540_서울74사4684,653.16759981 
시내버스,선진운수_752_서울74사4560,653.12378109 
시내버스,다모아자동차_470_서울74사7208,653.01842988 
시내버스,서울승합_340_서울75사2453,652.94280648 
시내버스,동아운수_152_서울74사2127,652.91973762 
시내버스,삼양교통_130_서울74사3271,652.78930590 
시내버스,남성교통_320_서울74사9838,652.66632475 
시내버스,메트로버스_273_서울74사4339,652.34631300 
시내버스,삼양교통_130_서울74사3266,652.30371431 
시내버스,중부운수_640_서울75사1356,652.27771178 
시내버스,동해운수_7728_서울75사1730,652.15447918 
시내버스,신촌교통_740_서울74사5828,652.12475136 
시내버스,우신버스_441_서울74사5585,651.76898614 
시내버스,중부운수_640_서울75사1357,651.35693178 
시내버스,양천운수_5524_서울74사5297,650.88683739 
시내버스,한국비알티_140_서울74사1617,650.82995221 
시내버스,동해운수_771_서울74사2459,650.51129088 
시내버스,신길운수_606_서울74사4792,650.24163574 
시내버스,삼양교통_130_서울74사3234,649.85015430 
시내버스,중부운수_640_서울70사7965,649.64050427 
시내버스,동아운수_153_서울74사2119,649.49346706 
시내버스,경성여객_271_서울75사4025,649.35131930 
